fecha,all_crimes,año,mes,diasem,violent_robbery,non_violent_robbery,burglary,violent_crime,sex_crime,domestic_violence,calls_vaw,metrobus,metro,pas_total
2017-01-01,522,2017,January,Sunday,70,56,20,30,24,54,17,281574,1679570,1961144
2017-01-02,587,2017,January,Monday,147,113,25,35,10,38,34,884965,4929980,5814945
2017-01-03,546,2017,January,Tuesday,152,125,25,18,4,40,37,987675,4939983,5927658
2017-01-04,637,2017,January,Wednesday,210,134,12,33,1,36,21,966612,4048924,5015536
2017-01-05,638,2017,January,Thursday,206,129,20,30,3,38,33,1001442,2503865,3505307
2017-01-06,471,2017,January,Friday,130,87,13,23,3,46,35,962147,4782843,5744990
2017-01-07,432,2017,January,Saturday,106,80,15,25,5,64,22,722042,3946899,4668941
2017-01-08,390,2017,January,Sunday,89,88,25,32,1,39,17,420043,4533522,4953565
2017-01-09,561,2017,January,Monday,175,105,9,18,4,36,40,1099610,4789816,5889426
2017-01-10,614,2017,January,Tuesday,171,99,17,17,9,53,40,1144866,2360700,3505566
2017-01-11,610,2017,January,Wednesday,198,109,25,29,3,43,27,1160248,4601164,5761412
2017-01-12,566,2017,January,Thursday,186,103,13,23,11,42,37,1153458,5175147,6328605
2017-01-13,621,2017,January,Friday,188,109,10,27,3,40,43,1204012,4722118,5926130
2017-01-14,501,2017,January,Saturday,144,105,18,33,3,40,18,790877,3902823,4693700
2017-01-15,540,2017,January,Sunday,105,91,21,39,8,79,21,471303,2620133,3091436
2017-01-16,640,2017,January,Monday,176,126,19,22,6,51,51,1176268,4477982,5654250
2017-01-17,581,2017,January,Tuesday,176,114,23,27,2,43,54,1187786,4633763,5821549
2017-01-18,653,2017,January,Wednesday,168,120,20,40,4,43,47,1200310,4714385,5914695
2017-01-19,553,2017,January,Thursday,150,114,21,24,4,41,25,1181391,4736925,5918316
2017-01-20,684,2017,January,Friday,192,132,21,30,2,39,40,1219106,4797625,6016731
2017-01-21,528,2017,January,Saturday,142,88,14,29,7,68,30,806733,3958094,4764827
2017-01-22,442,2017,January,Sunday,110,71,14,26,3,62,22,462154,2499318,2961472
2017-01-23,617,2017,January,Monday,197,101,20,31,6,41,41,1154698,4419144,5573842
2017-01-24,579,2017,January,Tuesday,180,101,18,26,5,41,46,1175622,4610742,5786364
2017-01-25,687,2017,January,Wednesday,196,116,19,34,5,63,32,1184256,4699391,5883647
2017-01-26,568,2017,January,Thursday,182,91,15,32,3,43,38,1175773,4758585,5934358
2017-01-27,616,2017,January,Friday,181,115,27,20,10,38,40,1211801,4796243,6008044
2017-01-28,516,2017,January,Saturday,137,96,18,26,6,56,23,801197,4065682,4866879
2017-01-29,427,2017,January,Sunday,100,76,16,31,2,55,19,468053,2515300,2983353
2017-01-30,651,2017,January,Monday,159,138,19,37,7,37,43,1177734,4550441,5728175
2017-01-31,577,2017,January,Tuesday,160,82,14,25,3,36,30,1197108,4805066,6002174
2017-02-01,737,2017,February,Wednesday,185,118,16,30,7,51,43,1227041,3619522,4846563
2017-02-02,606,2017,February,Thursday,152,104,14,29,12,48,29,1212959,4859194,6072153
2017-02-03,622,2017,February,Friday,155,117,15,37,5,47,44,1237017,5037712,6274729
2017-02-04,495,2017,February,Saturday,148,84,13,32,6,45,19,795589,2476363,3271952
2017-02-05,432,2017,February,Sunday,100,86,20,27,5,42,17,468697,4484722,4953419
2017-02-06,457,2017,February,Monday,153,84,14,18,3,48,19,537520,4867568,5405088
2017-02-07,667,2017,February,Tuesday,187,120,19,43,5,50,56,1214148,2402601,3616749
2017-02-08,619,2017,February,Wednesday,177,110,19,19,3,46,49,1229068,4727369,5956437
2017-02-09,581,2017,February,Thursday,167,104,19,32,12,40,36,1226862,4063355,5290217
2017-02-10,678,2017,February,Friday,177,107,14,29,3,66,46,1271340,4405797,5677137
2017-02-11,484,2017,February,Saturday,155,79,12,30,3,49,20,816909,3299954,4116863
2017-02-12,488,2017,February,Sunday,112,77,13,33,4,68,28,478257,4272414,4750671
2017-02-13,606,2017,February,Monday,155,103,11,37,4,45,37,1215392,4618173,5833565
2017-02-14,600,2017,February,Tuesday,171,90,19,20,11,47,48,1253415,4814790,6068205
2017-02-15,730,2017,February,Wednesday,197,120,21,35,14,59,45,1237588,4861584,6099172
2017-02-16,581,2017,February,Thursday,152,120,20,22,8,45,37,1247084,4930543,6177627
2017-02-17,643,2017,February,Friday,189,110,18,36,5,35,26,1285123,5021232,6306355
2017-02-18,523,2017,February,Saturday,153,105,16,31,8,47,30,857288,4219598,5076886
2017-02-19,484,2017,February,Sunday,106,103,28,33,8,54,28,506027,2706440,3212467
2017-02-20,614,2017,February,Monday,189,80,18,18,10,56,44,1200858,4636851,5837709
2017-02-21,593,2017,February,Tuesday,158,115,17,24,5,50,52,1214308,4733257,5947565
2017-02-22,615,2017,February,Wednesday,177,123,32,22,4,41,46,1234919,4829120,6064039
2017-02-23,604,2017,February,Thursday,193,89,17,35,7,40,43,1229324,4896563,6125887
2017-02-24,648,2017,February,Friday,199,123,18,40,8,32,33,1261279,4989926,6251205
2017-02-25,499,2017,February,Saturday,148,97,18,34,5,60,25,816207,4011384,4827591
2017-02-26,490,2017,February,Sunday,139,81,13,35,8,60,38,466489,2553393,3019882
2017-02-27,652,2017,February,Monday,191,116,20,27,3,52,43,1198572,4562688,5761260
2017-02-28,707,2017,February,Tuesday,197,126,21,33,6,61,49,1249736,4761303,6011039
2017-03-01,785,2017,March,Wednesday,172,123,23,27,13,57,41,1258456,4217189,5475645
2017-03-02,609,2017,March,Thursday,184,108,15,30,11,42,47,1254496,5011192,6265688
2017-03-03,694,2017,March,Friday,201,111,19,29,8,55,33,1308505,5088562,6397067
2017-03-04,500,2017,March,Saturday,145,96,20,27,4,46,33,824134,4557799,5381933
2017-03-05,455,2017,March,Sunday,91,84,19,28,5,53,42,481481,4745008,5226489
